Gerätenummer,Mitarbeiter-ID,Ausgabe am,Rückgabe am,Geraete.Gerätetyp,Geraete.Modell,Geraete.Kaufdatum,Geraete.Netto-Kaufpreis,Geraete.Standort,Mitarbeiter.Name,Mitarbeiter.Abteilung,Mitarbeiter.Standort
G0013,1009,28/01/2024,26/02/2025,Drucker,Canon Pixma,16/05/2021,1898.65,Hamburg,Univ.Prof. Heimo Karge,Marketing,Hamburg
G0022,1002,20/07/2024,06/01/2025,Tablet,iPad,20/08/2024,1591.98,Hamburg,Eleni Hauffer,IT,Berlin
G0028,1003,30/10/2024,04/12/2024,Beamer,Epson EB,19/01/2023,1246.58,Hamburg,Paul Dobes-Stiffel,Produktion,Hamburg
G0018,1011,03/10/2024,27/11/2024,Tablet,iPad,05/10/2022,1688.07,München,Auguste Davids,IT,Hamburg
G0030,1005,01/12/2023,24/09/2024,Beamer,Epson EB,27/03/2022,1629.76,München,Alexandre Davids,Vertrieb,Berlin
G0013,1012,07/05/2024,27/06/2024,Drucker,Canon Pixma,16/05/2021,1898.65,Hamburg,Ariane Klemt-Kaul,IT,München
G0035,1009,09/05/2024,,Beamer,BenQ MW550,03/01/2024,644.54,Berlin,Univ.Prof. Heimo Karge,Marketing,Hamburg
G0005,1009,07/04/2024,,Drucker,Canon Pixma,03/11/2021,823.23,Berlin,Univ.Prof. Heimo Karge,Marketing,Hamburg
G0035,1001,06/01/2024,,Beamer,BenQ MW550,03/01/2024,644.54,Berlin,Aleksandr Weinhage,IT,Berlin
G0035,1003,05/05/2024,,Beamer,BenQ MW550,03/01/2024,644.54,Berlin,Paul Dobes-Stiffel,Produktion,Hamburg
G0024,1008,24/03/2024,,Monitor,Dell UltraSharp,01/03/2022,750.91,Berlin,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,IT,Hamburg
G0016,1010,28/07/2025,,Drucker,Canon Pixma,30/03/2023,1501.06,Berlin,Carolin Hande,IT,Hamburg
G0005,1012,03/11/2024,,Drucker,Canon Pixma,03/11/2021,823.23,Berlin,Ariane Klemt-Kaul,IT,München
G0007,1001,11/08/2025,,Laptop,Lenovo ThinkPad,13/06/2021,869.09,Hamburg,Aleksandr Weinhage,IT,Berlin
G0028,1004,19/08/2024,,Beamer,Epson EB,19/01/2023,1246.58,Hamburg,Klemens Löffler,Vertrieb,Hamburg
G0015,1002,15/08/2024,,Smartphone,iPhone 13,20/09/2022,661.44,München,Eleni Hauffer,IT,Berlin
G0031,1004,29/01/2024,,Laptop,HP EliteBook,28/04/2025,1095.62,München,Klemens Löffler,Vertrieb,Hamburg
G0031,1004,14/02/2024,,Laptop,HP EliteBook,28/04/2025,1095.62,München,Klemens Löffler,Vertrieb,Hamburg
G0025,1005,18/01/2025,,Beamer,Epson EB,06/12/2023,545.46,Berlin,Alexandre Davids,Vertrieb,Berlin
G0035,1001,15/12/2024,,Beamer,BenQ MW550,03/01/2024,644.54,Berlin,Aleksandr Weinhage,IT,Berlin
G0033,1002,25/03/2025,,Beamer,BenQ MW550,03/03/2022,1212.29,Berlin,Eleni Hauffer,IT,Berlin
G0006,1007,03/07/2024,,Smartphone,Samsung S21,01/01/2024,1257.96,München,Orhan Siering MBA.,IT,Berlin
